Staging ID,System ID,Vessel Name,Canonical Vessel ID,IMO,MMSI,USCG Official Number,Canadian Official Number,Call Sign,Vessel Type,Subtype / Class,Flag,Passenger Capacity,Vehicle Capacity,Freight / Lane Metres,Year Built,Shipyard,Propulsion / Fuel,Current Status,Primary Route,Data Status,Source URL,Notes
FERRY_VS_BC011,FERRY_SYS_0001,Island sarlequun,VESSEL_00369,,,,,,Ro-Pax ferry,Island Class,Canada,300,47,,2026,,Battery-electric capable diesel-hybrid,Entering / operating 2026,Gabriola Island – Nanaimo Harbour,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC012,FERRY_SYS_0001,Island xwsaĺux̌ul,VESSEL_00370,,,,,,Ro-Pax ferry,Island Class,Canada,399,47,,2026,,Battery-electric capable diesel-hybrid,Operating / entering service 2026,Gabriola Island – Nanaimo Harbour,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC013,FERRY_SYS_0001,Kahloke,VESSEL_00371,,,,,,Ro-Pax ferry,Kahloke Class,Canada,200,21,,1973,,Diesel,Operating,Denman Island East – Hornby Island,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC014,FERRY_SYS_0001,Klitsa,VESSEL_00372,,,,,,Ro-Pax ferry,Kahloke Class,Canada,150,19,,1972,,Diesel,Operating,Brentwood Bay – Mill Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC015,FERRY_SYS_0001,Pune’luxutth,VESSEL_00373,,,,,,Ro-Pax ferry,K-Class,Canada,269,26,,2006,,Diesel,Operating,Chemainus – Penelakut – Thetis,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC016,FERRY_SYS_0001,Kwuna,VESSEL_00374,,,,,,Ro-Pax ferry,K-Class,Canada,150,16,,1975,,Diesel,Operating,Skidegate – Alliford Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC017,FERRY_SYS_0001,Malaspina Sky,VESSEL_00375,,,,,,Ro-Pax ferry,Regional Ro-Pax,Canada,462,112,,2008,,Diesel,Operating,Earls Cove – Saltery Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC018,FERRY_SYS_0001,Northern Adventure,VESSEL_00376,,,,,,Ro-Pax ferry,Northern Ro-Pax,Canada,500,87,,2004,,Diesel,Operating,Port Hardy – Prince Rupert / Prince Rupert – Skidegate,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC019,FERRY_SYS_0001,Northern Expedition,VESSEL_00377,,,,,,Ro-Pax ferry,Northern Ro-Pax,Canada,638,115,,2009,,Diesel,Operating,Port Hardy – Prince Rupert / Prince Rupert – Skidegate,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC020,FERRY_SYS_0001,Northern Sea Wolf,VESSEL_00378,,,,,,Ro-Pax ferry,Northern Ro-Pax,Canada,200,35,,2001,,Diesel,Operating,Port Hardy – Bella Coola / Central Coast,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC021,FERRY_SYS_0001,Quadra Queen II,VESSEL_00379,,,,,,Ro-Pax ferry,K-Class / regional ferry,Canada,150,26,,1969,,Diesel,Operating / relief,Port McNeill – Sointula – Alert Bay / relief,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC022,FERRY_SYS_0001,Queen of Alberni,VESSEL_00380,,,,,,Ro-Pax ferry,C-Class,Canada,1200,280,,1976,,Diesel,Operating,Tsawwassen – Duke Point,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC023,FERRY_SYS_0001,Queen of Capilano,VESSEL_00381,,,,,,Ro-Pax ferry,C-Class / rebuilt,Canada,457,87,,1991,,Diesel,Operating,Horseshoe Bay – Bowen Island,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC024,FERRY_SYS_0001,Queen of Coquitlam,VESSEL_00382,,,,,,Ro-Pax ferry,C-Class,Canada,1494,316,,1976,,Diesel,Operating,Horseshoe Bay – Langdale,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC025,FERRY_SYS_0001,Queen of Cowichan,VESSEL_00383,,,,,,Ro-Pax ferry,C-Class,Canada,1494,312,,1976,,Diesel,Operating,Horseshoe Bay – Departure Bay / relief,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC026,FERRY_SYS_0001,Queen of Cumberland,VESSEL_00384,,,,,,Ro-Pax ferry,C-Class / regional,Canada,462,112,,1992,,Diesel,Operating,Swartz Bay – Southern Gulf Islands,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC027,FERRY_SYS_0001,Queen of New Westminster,VESSEL_00385,,,,,,Ro-Pax ferry,C-Class,Canada,1332,254,,1964,,Diesel,Operating,Tsawwassen – Swartz Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC028,FERRY_SYS_0001,Queen of Oak Bay,VESSEL_00386,,,,,,Ro-Pax ferry,C-Class,Canada,1494,307,,1981,,Diesel,Operating,Horseshoe Bay – Departure Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC029,FERRY_SYS_0001,Queen of Surrey,VESSEL_00387,,,,,,Ro-Pax ferry,C-Class,Canada,1494,307,,1981,,Diesel,Operating,Horseshoe Bay – Langdale,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC030,FERRY_SYS_0001,Quinitsa,VESSEL_00388,,,,,,Ro-Pax ferry,K-Class / regional ferry,Canada,300,44,,1977,,Diesel,Operating,Chemainus / regional relief,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC031,FERRY_SYS_0001,Quinsam,VESSEL_00389,,,,,,Ro-Pax ferry,K-Class / regional ferry,Canada,400,63,,1982,,Diesel,Operating,Crofton – Vesuvius Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC032,FERRY_SYS_0001,Salish Eagle,VESSEL_00390,,,,,,Ro-Pax ferry,Salish Class,Canada,600,138,,2017,,Dual-fuel LNG / diesel,Operating,Tsawwassen – Southern Gulf Islands,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC033,FERRY_SYS_0001,Salish Heron,VESSEL_00391,,,,,,Ro-Pax ferry,Salish Class,Canada,600,138,,2021,,Dual-fuel LNG / diesel,Operating,Tsawwassen / Southern Gulf Islands / relief,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC034,FERRY_SYS_0001,Salish Orca,VESSEL_00392,,,,,,Ro-Pax ferry,Salish Class,Canada,600,138,,2016,,Dual-fuel LNG / diesel,Operating,Comox – Powell River,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC035,FERRY_SYS_0001,Salish Raven,VESSEL_00393,,,,,,Ro-Pax ferry,Salish Class,Canada,600,138,,2017,,Dual-fuel LNG / diesel,Operating,Swartz Bay – Southern Gulf Islands,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC036,FERRY_SYS_0001,Skeena Queen,VESSEL_00394,,,,,,Ro-Pax ferry,Skeena Class,Canada,450,91,,1997,,Diesel,Operating,Swartz Bay – Fulford Harbour,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC037,FERRY_SYS_0001,Spirit of British Columbia,VESSEL_00395,,,,,,Ro-Pax ferry,Spirit Class,Canada,2100,358,,1993,,Dual-fuel LNG / diesel,Operating,Tsawwassen – Swartz Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC038,FERRY_SYS_0001,Spirit of Vancouver Island,VESSEL_00396,,,,,,Ro-Pax ferry,Spirit Class,Canada,2100,358,,1994,,Dual-fuel LNG / diesel,Operating,Tsawwassen – Swartz Bay,Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_BC039,FERRY_SYS_0001,Tachek,VESSEL_00397,,,,,,Ro-Pax ferry,K-Class / regional ferry,Canada,150,26,,1969,,Diesel / battery-assist hybrid,Operating / transition,Quadra Island (Heriot Bay) – Cortes Island (Whaletown),Canonicalized,https://www.bcferries.com/on-the-ferry/our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF001,FERRY_SYS_0002,Puyallup,VESSEL_00398,,,,,,Ro-Pax ferry,Jumbo Mark II,United States,1791,202,,1999,,"Diesel-electric AC; 4 engines; 16,000 hp",Operating,Central Puget Sound,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF002,FERRY_SYS_0002,Tacoma,VESSEL_00399,,,,,,Ro-Pax ferry,Jumbo Mark II,United States,1791,202,,1997,,"Diesel-electric AC; 4 engines; 16,000 hp",Operating,Central Puget Sound,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF003,FERRY_SYS_0002,Wenatchee,VESSEL_00400,,,,,,Ro-Pax ferry,Jumbo Mark II,United States,1791,202,,1998,,"Hybrid-diesel-electric AC; 2 engines; 8,000 hp",Operating / hybrid conversion,Seattle – Bainbridge / central routes,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF004,FERRY_SYS_0002,Spokane,VESSEL_00401,,,,,,Ro-Pax ferry,Jumbo,United States,1793,188,,1972,,"Diesel-electric AC; 4 engines; 11,500 hp",Operating,Central Puget Sound,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF005,FERRY_SYS_0002,Walla Walla,VESSEL_00402,,,,,,Ro-Pax ferry,Jumbo,United States,1793,188,,1973,,"Diesel-electric AC; 4 engines; 11,500 hp",Operating,Central Puget Sound,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF006,FERRY_SYS_0002,Kaleetan,VESSEL_00403,,,,,,Ro-Pax ferry,Super,United States,1195,144,,1967,,"Diesel-electric DC; 4 engines; 8,960 hp",Operating,Central / north Puget Sound,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF007,FERRY_SYS_0002,Yakima,VESSEL_00404,,,,,,Ro-Pax ferry,Super,United States,1195,144,,1967,,"Diesel-electric DC; 4 engines; 8,960 hp",Operating,Central / north Puget Sound,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF008,FERRY_SYS_0002,Chimacum,VESSEL_00405,,,,,,Ro-Pax ferry,Olympic,United States,1500,144,,2017,,"Diesel reduction / CPP; 2 engines; 6,000 hp",Operating,Seattle – Bremerton / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF009,FERRY_SYS_0002,Samish,VESSEL_00406,,,,,,Ro-Pax ferry,Olympic,United States,1500,144,,2015,,"Diesel reduction / CPP; 2 engines; 6,000 hp",Operating,Anacortes / San Juan Islands,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF010,FERRY_SYS_0002,Suquamish,VESSEL_00407,,,,,,Ro-Pax ferry,Olympic,United States,1500,144,,2018,,"Diesel reduction / CPP; 2 engines; 6,000 hp",Operating,Mukilteo – Clinton / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF011,FERRY_SYS_0002,Tokitae,VESSEL_00408,,,,,,Ro-Pax ferry,Olympic,United States,1500,144,,2014,,"Diesel reduction / CPP; 2 engines; 6,000 hp",Operating,Mukilteo – Clinton / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF012,FERRY_SYS_0002,Cathlamet,VESSEL_00409,,,,,,Ro-Pax ferry,Issaquah,United States,1196,124,,1981,,"Diesel reduction / CPP; 2 engines; 5,100 hp",Operating,Fauntleroy – Vashon – Southworth / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF013,FERRY_SYS_0002,Chelan,VESSEL_00410,,,,,,Ro-Pax ferry,Issaquah,United States,1196,124,,1981,,"Diesel reduction / CPP; 2 engines; 5,100 hp",Operating,Anacortes / San Juan Islands,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF014,FERRY_SYS_0002,Issaquah,VESSEL_00411,,,,,,Ro-Pax ferry,Issaquah,United States,1196,124,,1979,,"Diesel reduction / CPP; 2 engines; 5,100 hp",Operating,Central Puget Sound / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF015,FERRY_SYS_0002,Kitsap,VESSEL_00412,,,,,,Ro-Pax ferry,Issaquah,United States,1196,124,,1980,,"Diesel reduction / CPP; 2 engines; 5,100 hp",Operating,Central Puget Sound / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF016,FERRY_SYS_0002,Kittitas,VESSEL_00413,,,,,,Ro-Pax ferry,Issaquah,United States,1196,124,,1980,,"Diesel reduction / CPP; 2 engines; 5,100 hp",Operating,Central Puget Sound / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF017,FERRY_SYS_0002,Sealth,VESSEL_00414,,,,,,Ro-Pax ferry,Issaquah,United States,1196,90,,1982,,"Diesel reduction / CPP; 2 engines; 5,100 hp",Operating,Central Puget Sound / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF018,FERRY_SYS_0002,Tillikum,VESSEL_00415,,,,,,Ro-Pax ferry,Evergreen State,United States,596,87,,1959,,"Diesel-electric AC; 2 engines; 4,600 hp",Operating,San Juan / inter-island / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF019,FERRY_SYS_0002,Chetzemoka,VESSEL_00416,,,,,,Ro-Pax ferry,Kwa-di Tabil,United States,748,64,,2010,,"Diesel reduction / fixed-pitch; 2 engines; 6,000 hp",Operating,Port Townsend – Coupeville,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF020,FERRY_SYS_0002,Kennewick,VESSEL_00417,,,,,,Ro-Pax ferry,Kwa-di Tabil,United States,748,64,,2011,,"Diesel reduction / CPP; 2 engines; 6,000 hp",Operating,Port Townsend – Coupeville / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_WSF021,FERRY_SYS_0002,Salish,VESSEL_00418,,,,,,Ro-Pax ferry,Kwa-di Tabil,United States,748,64,,2011,,"Diesel reduction / CPP; 2 engines; 6,000 hp",Operating,Port Townsend – Coupeville / relief,Canonicalized,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet,Canonical Vessel ID populated in v1.14.
FERRY_VS_0006,FERRY_SYS_0003,MV Columbia,,,,,,,Mainline ferry,,,,,,,,Fleet-listed,,Research seed,https://dot.alaska.gov/amhs/fleet.shtml,Canonical IMO/USCG identifiers to populate.,
FERRY_VS_0007,FERRY_SYS_0003,MV Kennicott,,,,,,,Mainline ferry,,,,,,,,Overhaul,,Research seed,https://dot.alaska.gov/amhs/fleet_status.shtml,Status from AMHS fleet-status source.,
FERRY_VS_0008,FERRY_SYS_0003,MV Tustumena,,,,,,,Mainline ferry,,,,,,,,Operating,,Research seed,https://dot.alaska.gov/amhs/fleet.shtml,Canonical IMO/USCG identifiers to populate.,
FERRY_VS_0009,FERRY_SYS_0003,MV Lituya,,,,,,,Day boat / shuttle ferry,,,,,,,,Operating,Ketchikan - Annette Bay,Research seed,https://dot.alaska.gov/amhs/fleet/fleet_status.shtml,Current service assignment.,
FERRY_VS_0010,FERRY_SYS_0004,Ala'suinu,,,,,,,Ro-Pax ferry,,,,,,,,Operating,North Sydney - Argentia / Port aux Basques,Research seed,https://www.marineatlantic.ca/onboard-experience/our-fleet,Newer Marine Atlantic vessel.,
FERRY_VS_0011,FERRY_SYS_0004,Blue Puttees,,,,,,,Ro-Pax ferry,,,,,,,,Operating,North Sydney - Newfoundland,Research seed,https://www.marineatlantic.ca/onboard-experience/our-fleet,Passenger/commercial ferry.,
FERRY_VS_0012,FERRY_SYS_0004,Highlanders,,,,,,,Ro-Pax ferry,,,,,~3 km lane space,,,,Operating,North Sydney - Newfoundland,Research seed,https://www.marineatlantic.ca/onboard-experience/our-fleet,Official source notes almost 3 km of vehicle-deck lane space.
FERRY_VS_0013,FERRY_SYS_0004,Leif Ericson,,,,,,,Commercial ferry,,,,,1.5+ km lane space,,,,Operating,North Sydney - Port aux Basques,Research seed,https://www.marineatlantic.ca/onboard-experience/our-fleet,Dedicated commercial ferry / restricted-goods capacity.
FERRY_VS_0014,FERRY_SYS_0007,Sunflower Kurenai,,,,,,,Ro-Pax ferry,,,716,,,2023,,Operating,Osaka - Beppu,Research seed,https://www.ferry-sunflower.co.jp/en/route/osaka-beppu/time/,"Official source: 716 guests; 199.9 m; 22.5 kn service speed; DWT 17,114.",
FERRY_VS_0015,FERRY_SYS_0007,Sunflower Murasaki,,,,,,,Ro-Pax ferry,,,716,,,2023,,Operating,Osaka - Beppu,Research seed,https://www.ferry-sunflower.co.jp/en/route/osaka-beppu/time/,Sister vessel / route source.,
FERRY_VS_0016,FERRY_SYS_0008,MV 2GO Maligaya,,,,,,,Passenger / cargo ferry,,,,,,,,Operating,Philippine inter-island,Research seed,https://2go.com.ph/travel/book/sailing-schedule/,Published on current 2026 sailing schedule.,
FERRY_VS_0017,FERRY_SYS_0008,MV 2GO Masagana,,,,,,,Passenger / cargo ferry,,,,,,,,Operating,Philippine inter-island,Research seed,https://2go.com.ph/travel/book/sailing-schedule/,Published on current 2026 sailing schedule.,
FERRY_VS_0018,FERRY_SYS_0008,MV 2GO Masikap,,,,,,,Passenger / cargo ferry,,,,,,,,Operating,Philippine inter-island,Research seed,https://2go.com.ph/travel/book/sailing-schedule/,Published on current 2026 sailing schedule.,
FERRY_VS_0019,FERRY_SYS_0008,MV 2GO Masigla,,,,,,,Passenger / cargo ferry,,,,,,,,Operating,Philippine inter-island,Research seed,https://2go.com.ph/travel/book/sailing-schedule/,Published on current 2026 sailing schedule.,
FERRY_VS_0020,FERRY_SYS_0008,MV 2GO Masinag,,,,,,,Passenger / cargo ferry,,,,,,,,Operating,Philippine inter-island,Research seed,https://2go.com.ph/travel/advisories/travel-advisory-as-of-april-11-2026/,Published in 2026 operational advisory.,
FERRY_VS_0021,FERRY_SYS_0008,MV St Francis Xavier,,,,,,,Passenger / cargo ferry,,,,,,,,Operating,Philippine inter-island,Research seed,https://2go.com.ph/travel/advisories/travel-advisory-as-of-march-27-2027/,Published in 31 Mar 2026 operational advisory.,
FERRY_VS_0022,FERRY_SYS_0011,New Aqaba,,,,,,,High-speed passenger craft,,,312,,,2023,,Operating,Aqaba - Nuweiba,Research seed,https://www.abmaritime.com.jo/fleet/newaqaba/?lang=ar,"Official source says built 2023, 312 passengers, 30 knots.",
FERRY_VS_0023,FERRY_SYS_0012,SeaLion 2000,,,,,,,Ro-Ro catamaran ferry,,,378,50 cars,,2000,,Operating,Cape Jervis - Penneshaw,Research seed,https://www.sealink.com.au/kangaroo-island/our-ferries/,Official capacity: up to 378 passengers and 50 cars or 30 cars + 4 coaches.,
FERRY_VS_0024,FERRY_SYS_0012,Spirit of Kangaroo Island,,,,,,,Ro-Ro catamaran ferry,,,243,50 cars / 8 semitrailers + 18 cars,,,,Operating,Cape Jervis - Penneshaw,Research seed,https://www.sealink.com.au/kangaroo-island/our-ferries/,Official capacity stated by SeaLink.,
FERRY_VS_0025,FERRY_SYS_0012,Wanggami,,,,,,,Newbuild car/passenger ferry,,,,,,,2026,,Commissioning,Cape Jervis - Penneshaw,Newbuild staging,https://www.sealink.com.au/kangaroo-island/news/-important-update-on-new-ki-ferries/,First of two new custom-built ferries; commissioning in 2026.
FERRY_VS_0026,FERRY_SYS_0012,Ruwi,,,,,,,Newbuild car/passenger ferry,,,,,,,2026,,Sea trials / delayed delivery,Cape Jervis - Penneshaw,Newbuild staging,https://www.sealink.com.au/kangaroo-island/news/important-update-on-the-timing-for-new-kifs/,Commissioning incident delayed delivery / service transition.
